,Sex,Pclass,Survived
0,male,3,0
1,female,1,1
2,female,3,1
3,female,1,1
4,male,3,0
5,male,3,0
6,male,1,0
7,male,3,0
8,female,3,1
9,female,2,1
10,female,3,1
11,female,1,1
12,male,3,0
13,male,3,0
14,female,3,0
15,female,2,1
16,male,3,0
17,male,2,1
18,female,3,0
19,female,3,1
20,male,2,0
21,male,2,1
22,female,3,1
23,male,1,1
24,female,3,0
25,female,3,1
26,male,3,0
27,male,1,0
28,female,3,1
29,male,3,0
30,male,1,0
31,female,1,1
32,female,3,1
33,male,2,0
34,male,1,0
35,male,1,0
36,male,3,1
37,male,3,0
38,female,3,0
39,female,3,1
40,female,3,0
41,female,2,0
42,male,3,0
43,female,2,1
44,female,3,1
45,male,3,0
46,male,3,0
47,female,3,1
48,male,3,0
49,female,3,0
50,male,3,0
51,male,3,0
52,female,1,1
53,female,2,1
54,male,1,0
55,male,1,1
56,female,2,1
57,male,3,0
58,female,2,1
59,male,3,0
60,male,3,0
61,female,1,1
62,male,1,0
63,male,3,0
64,male,1,0
65,male,3,1
66,female,2,1
67,male,3,0
68,female,3,1
69,male,3,0
70,male,2,0
71,female,3,0
72,male,2,0
73,male,3,0
74,male,3,1
75,male,3,0
76,male,3,0
77,male,3,0
78,male,2,1
79,female,3,1
80,male,3,0
81,male,3,1
82,female,3,1
83,male,1,0
84,female,2,1
85,female,3,1
86,male,3,0
87,male,3,0
88,female,1,1
89,male,3,0
90,male,3,0
91,male,3,0
92,male,1,0
93,male,3,0
94,male,3,0
95,male,3,0
96,male,1,0
97,male,1,1
98,female,2,1
99,male,2,0
100,female,3,0
101,male,3,0
102,male,1,0
103,male,3,0
104,male,3,0
105,male,3,0
106,female,3,1
107,male,3,1
108,male,3,0
109,female,3,1
110,male,1,0
111,female,3,0
112,male,3,0
113,female,3,0
114,female,3,0
115,male,3,0
116,male,3,0
117,male,2,0
118,male,1,0
119,female,3,0
120,male,2,0
121,male,3,0
122,male,2,0
123,female,2,1
124,male,1,0
125,male,3,1
